ProteinIndex,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
W5CSV7,0.405451128,0.34962406,0.65037594,0.385338346,0.91,-0.348,1.55504,1
Q5Z5A8,0.472542735,0.192307692,0,0.129807692,0.7,-0.064,1.02583,1
A0A2K3E1E8,0.425182269,0.347769029,0.146981627,0.263779528,3.77,-0.266,1.156,1
A0A8D9HYG3,0.446096534,0.297376093,0.069970845,0.029154519,-0.12,-0.364,0.646966,1
A0A8D9MBL5,0.39978836,0.338095238,0,0.057142857,-0.03,-0.464,0.752379,1
A0A1D6NB47,0.458781362,0.193548387,0,0.2,6.06,0.066,0.190455,1
A0A0P0XKH7,0.464967476,0.256869773,0,0,-0.37,-0.339,0.543171,1
Q2QR70,0.443308081,0.301136364,0.081439394,0.024621212,0.18,-0.35,0.503492,1
A0A2K3DWK4,0.434985291,0.130346232,0.431771894,0.733197556,7.78,0.185,2.47482,1
Q67UE2,0.437998772,0.229281768,0.395027624,0.317679558,6.15,-0.02,0.739033,1
A0A8D9HEV6,0.413536614,0.303534304,0.381496881,0.089397089,4.54,0.067,0.800291,1
Q9LLI2,0.47768637,0.229433272,0,0.078610603,1.96,-0.083,1.03286,1
A0A398AU96,0.425880342,0.203076923,0.132307692,0.018461538,3.53,0.04,1.47099,1
A0A0P0XGM3,0.5,0.165354331,0,0.132733408,2.23,-0.046,1.08152,1
A0A1D6IW19,0.390703235,0.355696203,0.262025316,0.34556962,2.49,-0.261,1.10284,1
A0A3B6DFR4,0.405902778,0.325,0.3625,0,-0.63,-0.434,0.575874,1
A0A2K1KXJ6,0.395922939,0.322580645,0.116935484,0.088709677,0.1,-0.054,0.794328,1
A0A3B6SEK9,0.491991441,0.140302613,0,0.082530949,2.07,0.044,1.00448,1
A0A1D6NAQ4,0.459197747,0.208916084,0.047202797,0.083916084,3.99,0.019,0.553691,1
A0A1D6JKU2,0.431549874,0.348011364,0.142045455,0.294034091,2.49,-0.108,0.0964773,1
A0A2K1L6J0,0.435006217,0.266531027,0,0.090539166,1.02,-0.283,1.42006,1
A0A3B6NJ77,0.458916084,0.232517483,0.027972028,0.146853147,4.71,0.051,1.32239,1
C0LGK9,0.485254657,0.196951934,0,0.048065651,1.14,-0.189,1.07355,1
A0A8D9GDX0,0.381740371,0.256776034,0.641940086,0.14978602,2.81,0.068,0.96884,1
A0A0P0W7T7,0.42483303,0.355191257,1,0.338797814,0.3,-0.467,-0.0179853,1
A0A1D6I180,0.513194444,0.155797101,0,0.047101449,1.93,-0.128,0.523862,1
Q4TU14,0.429230308,0.218328841,0.107816712,0.283018868,3.06,0.002,0.268735,1
A0A3Q7FXN1,0.492635659,0.187707641,0,0.056478405,0.82,-0.189,0.894661,1
Q6ZIX9,0.472420263,0.214821764,0,0.045028143,2.43,0.111,0.0362974,1
P17786,0.464285714,0.270089286,0.042410714,0,0.01,-0.201,1.02608,1
A0A2K1IJ70,0.454278416,0.266283525,0.078544061,0.088122605,0.49,-0.236,0.978282,1
Q9LVN1,0.4507109,0.225118483,0.176935229,0.133491311,3.87,0.053,0.451039,1
A0A804LJT8,0.422449694,0.236220472,0.039370079,0.069291339,2.75,0.048,1.19285,1
A0A804MX04,0.465309706,0.232758621,0.03591954,0.022988506,1.16,-0.106,0.855652,1
C0PB44,0.495093795,0.192640693,0,0.08008658,0.74,-0.197,0.640791,1
A0A2K3DF08,0.496333897,0.177664975,0,0.088832487,0.52,-0.188,1.04191,1
O81954,0.484656085,0.219047619,0,0.031292517,0.69,-0.061,0.993098,1
A0A3Q7EQN8,0.42489083,0.331877729,0,0.043668122,-0.88,-0.421,0.400872,1
A0A3B6JJ75,0.43609807,0.192488263,0,0.040688576,2.71,0.029,0.592422,1
A0A8D9MC34,0.408473403,0.226628895,0.039093484,0.100283286,2.64,0.279,1.43599,1
A0A7I4BSW3,0.387635167,0.290550071,0,0.064880113,4.29,-0.063,2.43062,1
A0A2K3DSE5,0.412098765,0.241666667,0.469444444,0.461111111,4.42,0.164,1.46394,1
C0PEE4,0.455714635,0.232378855,0.061674009,0.116740088,2.63,-0.066,0.00184591,1
A0A3B6KL36,0.428339869,0.228235294,0.12,0.162352941,3.17,0.068,0.981157,1
Q9FMM4,0.420775044,0.20984081,0,0.085383502,2.97,0.062,1.25546,1
A0A3Q7GWJ4,0.471916577,0.208737864,0.085760518,0.058252427,0.51,-0.082,0.636805,1
Q0JEH0,0.437808219,0.169863014,0.024657534,0.038356164,0.62,0.059,0.423203,1
A0A3B6PTB2,0.566360729,0.153942428,0,0.067584481,0.33,-0.295,0.384177,1
A0A397XYX2,0.390618449,0.29245283,0.226415094,0.221698113,2.5,-0.013,1.6283,1
A0A2K1JR57,0.463301788,0.217665615,0,0,1.32,-0.063,0.680094,1
A0A0N7KQB9,0.416217949,0.271153846,0,0.034615385,2.08,-0.018,1.34184,1
A0A7I4D1S5,0.478880071,0.206349206,0,0,1.22,-0.083,0.821756,1
Q5Q0C8,0.424876543,0.211111111,0.024074074,0.051851852,3.16,-0.068,0.542305,1
A0A2K3D4L2,0.44440613,0.289655172,0,0.089655172,2.63,-0.255,0.0673675,1
A0A2K3D052,0.487240356,0.065281899,0,0.581602374,20.77,0.376,2.29608,1
A0A2K3D0I6,0.476999727,0.187960688,0,0.197788698,8.8,0.101,1.31419,1
Q9LTX1,0.409516616,0.274924471,0.013595166,0.061933535,3.69,0.044,1.42623,1
Q8GWP0,0.432654321,0.211111111,0.069444444,0.038888889,1.01,-0.146,0.620437,1
A0A8D9HEW0,0.489924718,0.202750891,0,0.077432501,2.49,-0.154,1.03549,1
Q8VY61,0.46137037,0.216666667,0,0,0.17,-0.203,0.774089,1
A0A0P0XWU4,0.454830454,0.124760077,0.257197697,0.309021113,5.57,0.397,0.714775,1
A0A0P0WFF8,0.442095238,0.297142857,0.011428571,0.062857143,-0.23,-0.435,0.0110428,1
A0A2K1J2G6,0.435694978,0.307298335,0.085787452,0,1.04,-0.339,0.595215,1
A0A2K3DD03,0.444206349,0.032142857,0,0.664285714,3.55,0.616,0.314,1
A0A3B5Y1I7,0.471855856,0.195675676,0,0.03027027,2.53,-0.049,1.00886,1
A0A8D9GQ04,0.424767291,0.291622481,0.261930011,0.090137858,2.23,-0.06,0.902453,1
A0A3Q7EW07,0.470729432,0.209160305,0.033206107,0.096183206,3.38,0.075,1.41011,1
A0A1D6IP44,0.420731909,0.265275708,0.01490313,0.057377049,3.12,-0.1,1.2649,1
Q8W4L0,0.440995025,0.143283582,0.265671642,0.417910448,9.37,0.366,1.83362,1
A0A0P0WGL3,0.400799663,0.28030303,0.140151515,0.590909091,2.76,0.161,1.0636,1
Q9ZNU3,0.343344614,0.187817259,0.482233503,0.368020305,3.87,0.354,0.870452,1
A0A8D9MAN4,0.352648148,0.338333333,0.576666667,0.39,2.84,-0.143,2.05289,1
A0A0P0V8S9,0.414922236,0.250945776,0,0,0.96,-0.065,1.24996,1
Q7XP96,0.462259887,0.257627119,0.081355932,0,-0.65,-0.355,0.321188,1
O04608,0.398598291,0.344615385,0.427692308,0.169230769,0.3,-0.329,1.14183,1
A0A3B6SJP8,0.445982906,0.252307692,0.16,0.153846154,5.65,0.129,2.21153,1
Q9ZUJ2,0.405844573,0.306358382,0.433526012,0.12716763,0.74,-0.356,-0.281378,1
K7UBL0,0.414896009,0.301854975,0,0.119730185,4,-0.278,0.812428,1
Q93VS6,0.365989646,0.150537634,0,0.548387097,7.46,0.45,3.10465,1
A0A1I9LT07,0.472194211,0.213445378,0.107563025,0.223529412,10.61,0.215,2.25921,1
A0A804NJN6,0.447648106,0.203661327,0,0.066361556,1.89,0.125,0.205271,1
A0A3B6B934,0.463596793,0.212371134,0.101030928,0.072164948,0.89,-0.268,0.743754,1
Q84L31,0.465526386,0.171837709,0,0.252983294,1.18,0.175,0.035938,1
A0A3B6B7J2,0.473866001,0.215355805,0,0.059925094,3.32,0.003,0.426862,1
A0A3Q7IPK7,0.471284977,0.202933985,0,0.083129584,0.54,-0.205,0.782011,1
A0A2K3DZ58,0.434684953,0.212880143,0.572450805,0.388193202,4.67,-0.035,1.22166,1
A0A7I4AD33,0.452360952,0.24513173,0.050400916,0.112256586,2.66,-0.111,1.5801,1
Q69Y57,0.462600869,0.226256983,0,0.069832402,0.25,-0.297,0.515351,1
A0A3P5Y9V7,0.460103964,0.298245614,0,0,-1.58,-0.627,-0.892014,1
A9RS79,0.48957382,0.200913242,0,0.03652968,0.7,-0.238,0.841391,1
Q9SKD0,0.419748724,0.215547703,0,0.070671378,1.99,-0.022,0.762213,1
Q9FHX5,0.507267974,0.136470588,0,0.171764706,4.46,0.128,0.85655,1
A0A3B6NPB0,0.462364066,0.208510638,0.05106383,0.027659574,2.08,-0.117,1.3481,1
F4JUE0,0.455246914,0.227777778,0.127777778,0.077777778,-0.46,-0.14,1.04996,1
A0A2K3CSY7,0.428553121,0.22260669,0.500576701,0.623990773,12.37,0.194,3.27564,1
A0A8D9CYN7,0.448469912,0.266173752,0,0.103512015,2.78,-0.234,1.32525,1
A0A3Q7J2F1,0.466864918,0.230332522,0,0.054339011,1.3,-0.057,1.03814,1
A0A3B6I1S7,0.331153549,0.392361111,0.894097222,0.170138889,3.87,-0.206,1.66437,1
Q9LIN3,0.344217687,0.387755102,0.404081633,0.408163265,5.65,-0.194,3.23477,1
A0A2K1IUH6,0.509285943,0.170028818,0,0,2.02,-0.233,0.392198,1
A0A3Q7HI17,0.454846336,0.276595745,0,0,-1.01,-0.442,0.357289,1
F4I9K0,0.425089606,0.188585608,0.153846154,0.054590571,2.31,0.073,0.984767,1
A0A3B6B1Q1,0.410470965,0.320987654,0.283950617,0.29218107,2.16,-0.208,0.609264,1
Q9FGP9,0.485809597,0.247113164,0,0.131639723,4.53,-0.289,1.49734,1
A0A1D6FCM0,0.424304874,0.261040236,0,0.069676153,1.99,0.023,1.23944,1
Q9LHS5,0.383643372,0.366515837,0.150829563,0.164404223,1.06,-0.213,0.926499,1
Q9LMC0,0.426652142,0.326797386,0.359477124,0,0.57,-0.576,0.0641004,1
A0A3B6QHY9,0.508164295,0.14986376,0,0.133514986,0.23,-0.121,0.962175,1
B3H6H8,0.452985639,0.231292517,0,0,-0.49,-0.292,0.520154,1
A0A3Q7I540,0.435383412,0.257746479,0,0.074647887,2.89,-0.017,1.26953,1
A0A3Q7IME2,0.404095238,0.262857143,0.157142857,0.057142857,3.05,-0.179,0.941511,1
A8HS59,0.409259259,0.311827957,0.155913978,0.059139785,-0.99,-0.299,0.342277,1
Q6EPT2,0.433143939,0.164772727,0,0.318181818,5.04,0.24,1.49239,1
A0A3B5YTL4,0.492717949,0.175384615,0,0.089230769,2.64,-0.173,0.714072,1
A0A3B6HWY8,0.456087697,0.222222222,0.101532567,0.067049808,1.07,-0.267,0.598874,1
A0A2K1L1P2,0.436418089,0.264150943,0.485175202,0.272237197,6.13,0.256,3.23527,1
Q8L7W0,0.436403925,0.293447293,0,0,-0.55,-0.408,-0.0646884,1
A0A2K3CV29,0.471223758,0.175115207,0,0.161290323,1.39,-0.087,0.795782,1
Q6VGS4,0.458306624,0.201923077,0,0.177884615,2.25,-0.148,1.17096,1
Q64MA5,0.394666667,0.311111111,0.271111111,0.333333333,5.64,-0.156,3.15482,1
A0A3B6ILB1,0.426365348,0.234463277,0,0.254237288,2.68,-0.065,0.544379,1
A9SLC6,0.508516484,0.228021978,0,0.043956044,-0.7,-0.399,0.568719,1
A0A2K3DIY8,0.467432538,0.160473883,0.282714055,0.335487345,3.92,0.146,1.08525,1
Q9LTX7_ARATH,0.431584362,0.299074074,0.014814815,0.068518519,0.24,-0.287,1.09541,1
A0A1D5UGJ3,0.44,0.181395349,0,0.106976744,2.31,0.127,0.252138,1
Q10B65,0.495831591,0.17314931,0,0.047678795,1.57,-0.098,0.587097,1
A0A1P8AQV9,0.446730681,0.304526749,0,0,-0.95,-0.501,0.00503132,1
A0A2K3D2D1,0.439515455,0.248120301,1,0.370927318,4.34,-0.043,1.34279,1
A0A804LI33,0.52286385,0.15915493,0,0.157746479,1.94,0.266,0.366584,1
A0A8D9H0K5,0.465936359,0.187793427,0,0,0.86,-0.33,0.961996,1
A0A1P8B2J0,0.445979532,0.328947368,0.101973684,0.088815789,0,-0.39,0.169938,1
A0A2K3D014,0.345734127,0.376785714,0.955357143,0.655357143,5.83,-0.049,2.59925,1
A0A2K1JI58,0.457313159,0.218707015,0.061898212,0.067400275,1.37,-0.139,0.659103,1
A0A804PTT2,0.452140505,0.284302964,0.052689352,0.049396268,2.3,-0.097,0.934127,1
A0A398A087,0.40477193,0.187368421,0.130526316,0.406315789,10.22,0.347,3.14196,1
A0A3B6QFK5,0.461566248,0.193758127,0,0.140442133,2.56,0.034,0.613495,1
A0A3B5Y8D9,0.506403013,0.145951036,0,0.077212806,0.8,-0.01,0.592961,1
A0A2K1J2E4,0.47911826,0.222520107,0,0.075067024,-0.19,-0.265,0.934421,1
A0A3B6KHT6,0.426535948,0.302941176,0.314705882,0.223529412,2.02,-0.2,0.980602,1
A0A2K3DMX7,0.50475929,0.192751236,0.018945634,0.090609555,2.63,-0.077,1.11122,1
A0A3B6I111,0.403467001,0.233082707,0.571428571,0.12406015,1.69,-0.052,1.18373,1
A0A2K1KSU9,0.421422862,0.23501199,0.098321343,0.059952038,1.75,0.095,0.24201,1
Q5VQG6,0.421934866,0.148275862,0.627586207,0.40862069,6.78,0.325,0.820253,1
Q93VB0,0.457697801,0.277634961,0,0.092544987,-0.17,-0.455,0.597796,1
A0A3Q7F046,0.463500288,0.274611399,0,0.160621762,0.31,-0.337,0.659953,1
A0A8D9I4E7,0.477518268,0.216963737,0,0.062077443,0.66,0.036,0.743868,1
Q9SNP5,0.456388238,0.224824356,0.058548009,0.046838407,-0.07,-0.14,0.520268,1
Q9S807,0.458806147,0.140957447,0.085106383,0.4375,2.74,0.288,1.77604,1
A0A3B6PSI9,0.41628232,0.220125786,0.471698113,0.194968553,2.98,-0.029,0.899235,1
A0A2K3DX35,0.493145105,0.186472819,0.032237674,0.458280657,9.37,0.324,1.98584,1
A9U2X9,0.469828722,0.264822134,0,0,1.54,-0.305,1.07675,1
A0A1W5P464,0.446165644,0.205521472,0,0.042944785,1.6,-0.012,1.58921,1
A0A8D9CYJ3,0.447982619,0.335195531,0,0.139664804,-0.61,-0.572,0.206921,1
A0A0N7KKB8,0.399878567,0.31147541,0.382513661,0.382513661,-1.28,-0.167,0.188903,1
A0A3B6JLH5,0.495466939,0.17791411,0.076687117,0.04601227,0.6,-0.282,0.425261,1
A0A3B6RKV9,0.462455768,0.222929936,0,0,0.5,-0.266,1.08964,1
A0A804LQ03,0.474238965,0.190068493,0,0,0.59,-0.061,0.627151,1
A0A2K3DX83,0.39710944,0.264661654,0.387969925,0.532330827,2.98,0.02,1.79796,1
A0A2K1JJ54,0.426294357,0.188481675,0,0.068062827,1.9,-0.013,0.651687,1
A0A3Q7FSF7,0.400956938,0.339712919,0.172248804,0,0.23,-0.542,0.775641,1
A0A2K1JC87,0.403075644,0.331670823,0.274314214,0.164588529,0.78,-0.32,1.16926,1
P57691,0.50254558,0.222910217,0.142414861,0.117647059,-0.11,-0.233,0.560944,1
Q7XRD3,0.39150037,0.348115299,0.33037694,0.22616408,2.35,-0.227,1.49197,1
A0A2K3DNE6,0.438968773,0.239215686,0.112418301,0.324183007,4.87,0.041,1.86242,1
A0A3B6B5X6,0.438464223,0.188481675,0,0.030366492,1.28,0.131,0.764287,1
A0A2K3E2C1,0.423809524,0.308035714,0.191964286,0.165178571,-0.04,-0.297,-0.0099483,1
Q9SKI2,0.42508642,0.324444444,0.182222222,0.151111111,-0.81,-0.196,0.432073,1
Q7XKC4,0.426433283,0.178082192,0.01369863,0.123287671,3.3,0.102,1.02917,1
A0A3B6DGQ5,0.495467033,0.199175824,0,0.039835165,0.73,-0.03,0.775543,1
A0A2K3D5Y5,0.4759073,0.112758073,0.214928534,0.587612493,8.94,0.161,3.29444,1
A0A8D9M756,0.46988266,0.24380704,0,0,2.07,-0.216,1.16114,1
A0A3P5ZHJ0,0.448137255,0.249019608,0.053921569,0.12745098,2.98,-0.173,0.893109,1
A0A8D9MFF7,0.431425365,0.306397306,0,0,0,-0.34,0.200534,1
A0A2K1IN31,0.459136663,0.205574913,0,0.102787456,0.88,-0.147,0.470069,1
A9SI59,0.430815545,0.216748768,0.842364532,0.206896552,3.19,-0.035,0.141318,1
A0A1P8B106,0.414864865,0.198198198,0.013513514,0.247747748,5.22,0.267,2.53308,1
Q8VYF9,0.454294819,0.2319202,0,0.081047382,1.93,-0.25,0.779104,1
P93733,0.438114292,0.191135734,0.141274238,0.109879963,5.41,0.24,1.15881,1
A0A3Q7FXL7,0.388183826,0.316513761,0.78440367,0.070336391,3.16,-0.092,1.69178,1
Q9LS80,0.492308716,0.156886228,0,0.071856287,1.25,-0.125,0.961113,1
C4J1T2,0.436241728,0.181818182,0.205329154,0.186520376,3.11,0.167,0.252922,1
A0A2K3DDR6,0.4558102,0.173337637,0.21191091,0.501775339,8.35,0.439,2.31991,1
A0A3Q7F570,0.461644696,0.18079096,0,0,0.86,0.092,0.554475,1
A0A804M1J4,0.487555556,0.193333333,0,0.18,-0.13,-0.252,0.496288,1
A0A804QCG7,0.442430149,0.245614035,0,0.081871345,1.26,-0.336,1.82611,1
F4IVU7,0.373928721,0.383396226,0.55245283,0.060377358,1.26,-0.268,1.50553,1
A0A3B5XXQ7,0.432865944,0.281070746,0,0.135755258,2.47,-0.162,1.64768,1
F4I5Q5,0.432725694,0.278645833,0.151041667,0.041666667,1.95,-0.076,0.681107,1
A0A2K3CPZ5,0.46099525,0.182481752,0,0.48540146,13.17,0.304,1.85899,1
A0A3Q7FR31,0.460562558,0.245798319,0,0.101890756,1.39,-0.121,1.06378,1
F4HQT1,0.483727599,0.267741935,0,0.090322581,0.14,-0.33,0.931318,1
A0A2K3CYQ1,0.485660098,0.144879267,0,0.178184846,4.72,0.206,0.975113,1
A0A3Q7ENF6,0.466190476,0.191666667,0.046428571,0.044047619,2,-0.046,1.13166,1
A0A2K3E102,0.473001949,0.115288221,0.073934837,0.497493734,7.4,0.35,2.03664,1
Q10E42,0.422354497,0.301587302,0.121031746,0.188492063,3,-0.392,0.591638,1
A0A2K1JU13,0.468042967,0.181268882,0,0.045317221,1.42,-0.192,0.439996,1
Q0DJF0,0.440578983,0.295180723,0.09939759,0.02560241,0.33,-0.251,0.941593,1
O49289,0.428560158,0.293491124,0.117159763,0.152662722,11.7,-0.015,1.99595,1
A0A2K1K6D3,0.462644757,0.254929577,0,0.052112676,1.58,-0.12,1.19984,1
A0A2K1L192,0.510985562,0.177966102,0,0.073446328,1.81,-0.139,1.08601,1
Q8L7K1,0.462457171,0.233480176,0,0.127753304,0.09,-0.321,0.487712,1
A0A804P8L4,0.425938831,0.278745645,0.066202091,0.034843206,-0.74,-0.31,0.697753,1
A0A2K3DZS1,0.456960263,0.169703872,0.115034169,0.513667426,6.82,0.088,1.78274,1
C7IWC0,0.443794326,0.196808511,0.622340426,0.138297872,2.97,-0.119,1.00971,1
A0A2K3D9C3,0.45304799,0.272373541,0.087548638,0.13618677,2.65,-0.299,1.15274,1
A0A8D9I110,0.458954248,0.254901961,0.133333333,0.098039216,1.9,-0.03,0.841031,1
A0A3B6TG62,0.475966184,0.206521739,0,0,2.26,-0.208,0.904429,1
K7V573,0.454206924,0.268115942,0,0.038043478,0.39,-0.105,1.39539,1
A0A2K3DER1,0.45803387,0.107806691,0.144981413,0.605947955,2.25,0.187,-0.382626,1
A0A2K3DY65,0.483154122,0.229677419,0,0.094193548,1.32,-0.114,1.28382,1
A0A0P0Y716,0.407049808,0.310344828,0.586206897,0.137931034,-0.44,-0.239,0.343617,1
Q0D5J1,0.376382876,0.360750361,0.489177489,0.373737374,2.47,-0.239,1.47579,1
A0A3B6NPP4,0.497040759,0.190954774,0,0.130653266,-1.38,-0.189,0.567347,1
A0A3P5YXV5,0.444218609,0.130081301,0.166666667,0.341463415,1.67,0.395,0.682185,1
A0A1D6HD52,0.432222222,0.217142857,0.072857143,0.027142857,1.21,-0.1,0.938309,1
A0A1P8AM12,0.399559956,0.314356436,0.51980198,0.198019802,4.11,-0.097,0.944288,1
A0A8D9D0C0,0.43551218,0.250113482,0.238311394,0.044030867,2.27,0.044,1.04513,1
A0A3Q7IYA3,0.484527334,0.154529307,0,0,0.26,-0.024,0.65649,1
A0A3B6HR95,0.508976464,0.197044335,0,0,0.34,-0.294,0.672874,1
K7V747,0.457066052,0.223502304,0,0.039170507,-0.16,-0.103,0.652112,1
A0A2K3DC65,0.489527051,0.119336311,0.045096788,0.506487981,7.62,0.592,2.75534,1
A0A2K3CTJ5,0.460388128,0.212328767,0.150684932,0.089041096,-1.08,0.003,-0.149747,1
A0A8D9HP10,0.407807808,0.363363363,0.261261261,0.036036036,1.95,-0.556,0.356897,1
A0A3Q7GQL2,0.384499693,0.215469613,0.041436464,0.149171271,1.79,0.133,0.923003,1
A0A2K3CSJ5,0.46745283,0.132075472,0.061994609,0.64083558,5.7,0.699,3.44827,1
A0A3Q7FA45,0.463415121,0.136445242,0.003590664,0.10951526,2.24,0.203,0.260061,1
A0A3P5YSC5,0.422153209,0.201863354,0.090062112,0.431677019,4.58,0.455,2.39891,1
Q8L649,0.421953405,0.233870968,0,0,3.16,0.05,0.347994,1
A0A3P6BZM8,0.441630592,0.298701299,0.62987013,0.103896104,1.45,-0.458,0.449748,1
Q9LHI8,0.350846758,0.505576208,0.483271375,0.066914498,1.63,-0.819,0.626416,1
A0A3Q7IPF6,0.451621364,0.263948498,0.107296137,0.072961373,-0.2,-0.352,0.595428,1
A0A3B6B7V8,0.448942598,0.211480363,0,0.078549849,1.22,-0.159,0.587668,1
A0A2K3CSD3,0.471512398,0.119250426,0.361158433,0.39693356,6.69,0.183,0.284972,1
A0A8D9M2Y3,0.423364382,0.316367265,0,0.121756487,3.13,-0.256,1.37732,1
Q9FGF8,0.402926968,0.196930946,0.245524297,0.250639386,0.45,0.207,0.638259,1
A0A3Q7IF58,0.453233831,0.109452736,0.109452736,0.154228856,1.34,0.199,-0.772798,1
A0A3Q7HGL3,0.440648478,0.309608541,0.142348754,0.09252669,-0.42,-0.35,-0.0469318,1
A9S2L5,0.453676768,0.250909091,0,0,1.62,-0.228,0.509389,1
A0A3Q7HZ00,0.435888078,0.288321168,0,0.175182482,0.13,-0.365,0.767064,1
A0A3Q7JJ82,0.438156484,0.31511254,0.131832797,0.115755627,1.23,-0.37,0.978282,1
A0A7I4EH23,0.500967458,0.158311346,0,0,3.17,-0.107,0.377954,1
A0A3B6DCB7,0.396032773,0.336351876,0.368693402,0.17076326,2.13,-0.147,0.829842,1
Q10Q92,0.423540693,0.238403452,0.187702265,0.276159655,7.61,0.245,1.6381,1
A0A2K3D507,0.462296997,0.132492114,0.024185068,0.484752892,2.06,0.247,0.707162,1
A0A1D6E958,0.500525834,0.185185185,0,0.061728395,1.09,-0.142,0.945366,1
A0A8D9H7P9,0.355349077,0.274099884,0.587688734,0.307781649,3.77,0.278,1.44806,1
K4BET6,0.442028465,0.262648009,0,0.051668461,0.96,-0.057,0.913103,1
C6ES39,0.393522094,0.154440154,0,0.324324324,4.3,0.295,1.49773,1
A0A2K3D1L5,0.455452912,0.244803695,0.069284065,0.073903002,3.75,0.06,0.467897,1
A0A2K1ID76,0.503196053,0.16023166,0,0.046332046,1.45,-0.072,0.435454,1
A0A1D6KGZ0,0.456545526,0.182883939,0,0.037514654,3.12,0.197,0.915096,1
A0A8D9GFR1,0.464690722,0.273195876,0,0.190721649,0.11,-0.431,0.895625,1
A0A2K1JUD4,0.452756355,0.230077121,0,0.030848329,0.67,-0.141,0.927103,1
Q53RK8,0.388511473,0.377717391,0.288043478,0.194293478,1.81,-0.351,0.944223,1
A0A1P8BB71,0.403472222,0.333333333,0.715277778,0,-1.05,-0.338,-0.245767,1
A0A804NZ76,0.439933166,0.236842105,0,0.060150376,2.43,-0.082,0.717062,1
A0A3B6TVK9,0.432047281,0.161702128,0.013617021,0.182978723,1.42,0.657,0.535313,1
Q8LN49,0.465539452,0.199275362,0,0.050724638,1.5,-0.239,0.800634,1
Q7Y1P1,0.483038914,0.190092166,0,0.043778802,1.5,0.059,0.764614,1
A0A804M9U1,0.492758621,0.187356322,0,0.113793103,2.1,-0.172,0.725932,1
A0A3B6SKX5,0.441871921,0.251231527,0.165024631,0.07635468,-0.49,-0.122,0.449438,1
A0A1D6Q3B7,0.463161022,0.299465241,0,0.35828877,-0.17,-0.448,0.615063,1
A0A2K1J852,0.400020239,0.295081967,0.273224044,0.373406193,6.98,-0.027,3.29607,1
K4CTK2,0.419127347,0.269406393,0.292237443,0,-1.29,-0.35,1.30102,1
A0A3B5XVB1,0.401399825,0.267716535,0.318897638,0.12992126,3.12,-0.154,1.01218,1
A0A3B6QGX7,0.461955241,0.265017668,0.056537102,0.067137809,2.66,-0.021,0.685224,1
P61841,0.435483871,0.290322581,0,0,-0.51,-0.366,0.286344,1
Q9ZU75,0.436996997,0.243243243,0.021621622,0,-0.61,-0.289,0.595232,1
A0A2K3CNR1,0.411785534,0.341426404,0.04552352,0.08952959,-0.56,-0.19,0.674622,1
A0A3B5Y4U3,0.482064298,0.218274112,0.076142132,0.21319797,-1.02,-0.339,0.291882,1
A0A2K3CRQ3,0.482333632,0.110116383,0.086839749,0.500447628,7.45,0.225,1.5411,1
A0A2K3CU32,0.473525377,0.150205761,0,0.384773663,0.98,0.182,-0.123692,1
A8IYG8,0.451384718,0.264264264,0.051051051,0.081081081,0.63,-0.323,0.874339,1
A0A8D9I5Y0,0.352154882,0.284848485,0.566666667,0.339393939,7.06,0.25,-0.198721,1
A0A8D9G6N1,0.458468835,0.237804878,0,0.103658537,0.76,-0.08,1.09082,1
A0A7I4BQ47,0.463274661,0.257425743,0.089108911,0.120462046,0.41,-0.235,0.889221,1
B4FR90,0.360435038,0.354497354,1,0.46031746,9.56,0.09,3.03403,1
A0A2K3CR61,0.446284737,0.171036205,0.064086558,0.692051602,8.58,0.383,1.52134,1
A0A3B6EQZ5,0.457699805,0.26185835,0.086419753,0.087069526,1.75,-0.143,0.996316,1
A0A3P5Y8Z9,0.456681351,0.264317181,0,0.06938326,2.09,-0.265,1.13772,1
A0A0P0Y053,0.404038066,0.365740741,0.416666667,0.231481481,0.55,-0.158,1.36277,1
Q6Z1L7,0.428954802,0.31779661,0.275423729,0.245762712,3.3,-0.149,0.400823,1
A0A804MCS1,0.315531335,0.46866485,0.414168937,0.435967302,2.73,-0.322,1.29955,1
Q2QUQ9,0.393971481,0.34180432,0.273189327,0.378653113,4.22,-0.172,1.06442,1
A0A2K1L9E7,0.453979239,0.283737024,0,0.051903114,0.26,-0.257,1.07404,1
A0A8D9MAN9,0.412932034,0.201461378,0.329853862,0.175365344,2.95,0.183,1.20971,1
A0A3Q7GKX9,0.438796075,0.23627685,0.057279236,0.08353222,0.61,0.021,0.486405,1
Q75L44,0.405329457,0.35755814,0.110465116,0.13372093,-0.71,-0.431,0.0348599,1
A0A3B6HPS8,0.456598639,0.297959184,0,0,-0.45,-0.42,-0.462081,1
Q948R9,0.382661005,0.401273885,0.242038217,0.26433121,1.79,-0.437,0.91013,1
Q682E1,0.404541263,0.336099585,0.124481328,0.03526971,2.75,-0.368,0.585283,1
A0A0N7KFY1,0.448254644,0.172523962,0,0.061767838,5.29,0.199,1.46287,1
A0A0P0X2K1,0.434399182,0.296977661,0,0.017082786,1.8,-0.364,0.567118,1
A0A3B6JGG4,0.504078236,0.220973783,0,0.037453184,-0.31,-0.323,0.506024,1
A0A2K3DLN6,0.456480942,0.118811881,0,0.503785673,5.86,0.389,2.44147,1
